Fiscal Year,Fiscal Quarter,Fiscal Period,FSLine Statement L1,FSLine Statement L2,Product,Country,Currency,Amount in Local Currency,Amount in USD,Version
2020,Q1,2020-01,OPEX,General & Administrative,Product D,Australia,AUD,11657.71,8160.4,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product D,Australia,AUD,35705.4,24993.78,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product D,Australia,AUD,3942.35,2759.64,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product D,Australia,AUD,11560.57,8092.4,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product D,Australia,AUD,17898.64,12529.05,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product D,Australia,AUD,8163.65,5714.56,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product D,Australia,AUD,-657.49,-460.24,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product D,Australia,AUD,1057.7,740.39,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product D,Australia,AUD,868.71,608.1,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product A,Canada,CAD,31500.01,23625.01,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product A,Canada,CAD,75258.54,56443.9,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product A,Canada,CAD,13413.62,10060.22,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product A,Canada,CAD,233571.96,175178.97,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product A,Canada,CAD,-8129.04,-6096.78,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product A,Canada,CAD,3090.78,2318.09,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product A,Canada,CAD,20461.67,15346.25,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product A,Canada,CAD,60633.68,45475.26,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product A,Canada,CAD,11377.8,8533.35,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product A,Canada,CAD,19286.62,14464.97,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product A,Canada,CAD,33409.02,25056.76,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product A,Canada,CAD,23632.12,17724.09,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product A,Canada,CAD,-4160.69,-3120.51,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product A,Canada,CAD,3016.3,2262.22,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product A,Canada,CAD,1319.22,989.42,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product B,Canada,CAD,20432.64,15324.48,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product B,Canada,CAD,48141.19,36105.89,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product B,Canada,CAD,19098.88,14324.16,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product B,Canada,CAD,201290.19,150967.64,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product B,Canada,CAD,-9539.87,-7154.9,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product B,Canada,CAD,1935.31,1451.48,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product B,Canada,CAD,17179.69,12884.77,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product B,Canada,CAD,70950.91,53213.18,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product B,Canada,CAD,5556.84,4167.63,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product B,Canada,CAD,24943.63,18707.72,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product B,Canada,CAD,23669.51,17752.13,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product B,Canada,CAD,22832.03,17124.02,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product B,Canada,CAD,1754.04,1315.53,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product B,Canada,CAD,2757.1,2067.82,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product B,Canada,CAD,2591.01,1943.26,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product C,Canada,CAD,18957.3,14217.97,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product C,Canada,CAD,53615.31,40211.48,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product C,Canada,CAD,14041.2,10530.9,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product C,Canada,CAD,246709.06,185031.79,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product C,Canada,CAD,-2848.45,-2136.33,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product C,Canada,CAD,-370.91,-278.18,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product C,Canada,CAD,13768.62,10326.46,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product C,Canada,CAD,41080.96,30810.72,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product C,Canada,CAD,10554.06,7915.54,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product C,Canada,CAD,10417.65,7813.24,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product C,Canada,CAD,21966.65,16474.99,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product C,Canada,CAD,18791.39,14093.54,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product C,Canada,CAD,953.31,714.99,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product C,Canada,CAD,2205.59,1654.19,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product C,Canada,CAD,2368.13,1776.09,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product D,Canada,CAD,15626.27,11719.71,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product D,Canada,CAD,36277.58,27208.19,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product D,Canada,CAD,8413.37,6310.03,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product D,Canada,CAD,152922.92,114692.19,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product D,Canada,CAD,-6603.59,-4952.69,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product D,Canada,CAD,-425.79,-319.34,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product D,Canada,CAD,9507.04,7130.28,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product D,Canada,CAD,36316.55,27237.41,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product D,Canada,CAD,5043.42,3782.57,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product D,Canada,CAD,13988.63,10491.47,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product D,Canada,CAD,20091.4,15068.55,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product D,Canada,CAD,12768.98,9576.73,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product D,Canada,CAD,-2667.33,-2000.5,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product D,Canada,CAD,2689.35,2017.01,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product D,Canada,CAD,1123.46,842.6,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product A,Germany,EUR,45204.96,49725.45,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product A,Germany,EUR,95510.27,105061.29,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product A,Germany,EUR,25481.28,28029.41,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product A,Germany,EUR,428535.63,471389.19,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product A,Germany,EUR,-15871.98,-17459.17,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product A,Germany,EUR,-1875.92,-2063.52,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product A,Germany,EUR,26544.45,29198.89,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product A,Germany,EUR,70624.99,77687.49,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product A,Germany,EUR,17597.83,19357.61,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product A,Germany,EUR,20353.61,22388.97,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product A,Germany,EUR,75415.35,82956.89,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product A,Germany,EUR,49603.84,54564.23,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product A,Germany,EUR,1889.87,2078.86,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product A,Germany,EUR,9174.04,10091.44,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product A,Germany,EUR,5094.67,5604.14,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product B,Germany,EUR,35157.17,38672.88,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product B,Germany,EUR,79459.88,87405.87,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product B,Germany,EUR,23473.21,25820.53,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product B,Germany,EUR,381247.61,419372.37,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product B,Germany,EUR,-15341.87,-16876.05,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product B,Germany,EUR,-1762.9,-1939.19,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product B,Germany,EUR,27363.63,30099.99,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product B,Germany,EUR,97218.36,106940.19,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product B,Germany,EUR,14325.01,15757.51,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product B,Germany,EUR,31617.85,34779.64,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product B,Germany,EUR,32555.1,35810.6,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product B,Germany,EUR,33493.68,36843.04,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product B,Germany,EUR,-5682.89,-6251.18,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product B,Germany,EUR,4747.35,5222.09,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product B,Germany,EUR,3781.43,4159.57,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product C,Germany,EUR,37184.31,40902.75,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product C,Germany,EUR,75465.39,83011.93,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product C,Germany,EUR,20805.14,22885.66,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product C,Germany,EUR,339108.0,373018.8,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product C,Germany,EUR,-12966.53,-14263.18,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product C,Germany,EUR,-1342.51,-1476.76,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product C,Germany,EUR,29058.75,31964.63,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product C,Germany,EUR,69949.73,76944.7,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product C,Germany,EUR,10222.37,11244.6,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product C,Germany,EUR,15845.14,17429.66,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product C,Germany,EUR,51143.68,56258.05,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product C,Germany,EUR,29764.78,32741.26,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product C,Germany,EUR,3218.35,3540.19,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product C,Germany,EUR,4510.76,4961.83,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product C,Germany,EUR,1348.87,1483.76,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product D,Germany,EUR,20848.65,22933.51,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product D,Germany,EUR,53657.99,59023.79,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product D,Germany,EUR,14837.65,16321.41,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product D,Germany,EUR,225859.46,248445.4,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product D,Germany,EUR,-8044.23,-8848.65,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product D,Germany,EUR,2353.33,2588.66,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product D,Germany,EUR,18526.9,20379.59,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product D,Germany,EUR,66116.09,72727.7,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product D,Germany,EUR,10837.06,11920.76,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product D,Germany,EUR,8558.2,9414.02,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product D,Germany,EUR,36048.14,39652.95,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product D,Germany,EUR,18595.83,20455.42,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product D,Germany,EUR,-2764.15,-3040.57,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product D,Germany,EUR,4894.67,5384.14,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product D,Germany,EUR,2391.5,2630.65,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product A,Japan,JPY,31601.53,284.41,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product A,Japan,JPY,81963.45,737.67,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product A,Japan,JPY,22956.17,206.61,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product A,Japan,JPY,346218.18,3115.96,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product A,Japan,JPY,-11989.44,-107.9,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product A,Japan,JPY,-106.01,-0.95,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product A,Japan,JPY,21391.49,192.52,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product A,Japan,JPY,88449.84,796.05,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product A,Japan,JPY,14130.66,127.18,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product A,Japan,JPY,36554.66,328.99,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product A,Japan,JPY,45268.59,407.42,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product A,Japan,JPY,23063.25,207.57,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product A,Japan,JPY,5194.44,46.75,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product A,Japan,JPY,3428.97,30.86,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product A,Japan,JPY,2371.82,21.35,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product B,Japan,JPY,30646.25,275.82,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product B,Japan,JPY,70004.48,630.04,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product B,Japan,JPY,15380.09,138.42,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product B,Japan,JPY,336380.88,3027.43,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product B,Japan,JPY,-6921.21,-62.29,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product B,Japan,JPY,-2181.96,-19.64,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product B,Japan,JPY,21484.54,193.36,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product B,Japan,JPY,50858.46,457.73,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product B,Japan,JPY,13673.1,123.06,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product B,Japan,JPY,25440.64,228.97,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product B,Japan,JPY,45626.61,410.64,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product B,Japan,JPY,23510.29,211.59,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product B,Japan,JPY,2845.9,25.61,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product B,Japan,JPY,3450.0,31.05,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product B,Japan,JPY,1398.56,12.59,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product C,Japan,JPY,27755.75,249.8,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product C,Japan,JPY,50174.12,451.57,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product C,Japan,JPY,10096.22,90.87,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product C,Japan,JPY,224755.71,2022.8,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product C,Japan,JPY,-4853.63,-43.68,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product C,Japan,JPY,406.6,3.66,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product C,Japan,JPY,20281.6,182.53,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product C,Japan,JPY,51510.32,463.59,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product C,Japan,JPY,10751.93,96.77,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product C,Japan,JPY,14349.94,129.15,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product C,Japan,JPY,35684.27,321.16,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product C,Japan,JPY,16263.88,146.37,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product C,Japan,JPY,2503.7,22.53,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product C,Japan,JPY,4558.48,41.03,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product C,Japan,JPY,2685.11,24.17,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product D,Japan,JPY,17143.88,154.29,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product D,Japan,JPY,46013.55,414.12,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product D,Japan,JPY,7057.55,63.52,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product D,Japan,JPY,208923.74,1880.31,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product D,Japan,JPY,-4790.93,-43.12,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product D,Japan,JPY,-556.74,-5.01,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product D,Japan,JPY,10846.56,97.62,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product D,Japan,JPY,36481.27,328.33,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product D,Japan,JPY,7949.4,71.54,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product D,Japan,JPY,10219.65,91.98,Actuals
2020,Q1,2020-01,OPEX,R&D Expenses,Product D,Japan,JPY,19958.3,179.62,Actuals
2020,Q1,2020-01,OPEX,Sales Expenses,Product D,Japan,JPY,12681.63,114.13,Actuals
2020,Q1,2020-01,Other Income/Expenses,Foreign Exchange Gain/Loss,Product D,Japan,JPY,2156.87,19.41,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Expense,Product D,Japan,JPY,3213.47,28.92,Actuals
2020,Q1,2020-01,Other Income/Expenses,Interest Income,Product D,Japan,JPY,1444.65,13.0,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Labor,Product A,United Kingdom,GBP,50642.46,63303.07,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Direct Materials,Product A,United Kingdom,GBP,91001.85,113752.32,Actuals
2020,Q1,2020-01,Cost of Goods Sold,Manufacturing Overhead,Product A,United Kingdom,GBP,18145.73,22682.17,Actuals
2020,Q1,2020-01,Net Revenue,Gross Revenue,Product A,United Kingdom,GBP,429334.47,536668.09,Actuals
2020,Q1,2020-01,Net Revenue,Returns and Refunds,Product A,United Kingdom,GBP,-16229.51,-20286.89,Actuals
2020,Q1,2020-01,Net Revenue,Revenue Adjustment,Product A,United Kingdom,GBP,-3026.86,-3783.57,Actuals
2020,Q1,2020-01,OPEX,General & Administrative,Product A,United Kingdom,GBP,27002.9,33753.63,Actuals
2020,Q1,2020-01,OPEX,Headcount Expenses,Product A,United Kingdom,GBP,73779.47,92224.34,Actuals
2020,Q1,2020-01,OPEX,IT Expenses,Product A,United Kingdom,GBP,19417.08,24271.35,Actuals
2020,Q1,2020-01,OPEX,Marketing Expenses,Product A,United Kingdom,GBP,50008.95,62511.19,Actuals
